               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12402,             0.04043,            0.045166,                   0,                   0,                   0,                   0,                   0,            0.015933,                   0,               8e-05,               8e-05,             0.09928
                   1,             0.12174,            0.041599,            0.044414,                   0,                   0,                   0,                   0,                   0,            0.014156,                   0,            0.000136,            0.000136,            0.098436
                   2,             0.11732,            0.042031,             0.04336,                   0,                   0,                   0,                   0,                   0,            0.012891,                   0,            0.000104,            0.000104,            0.097504
