               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12431,            0.044207,            0.045474,           0.0014191,             0.17311,          0.00088512,          0.00014847,             0.12071,            0.042838,            0.046406,               8e-05,               8e-05,             0.09928
                   1,             0.12074,            0.046964,             0.04434,            0.002192,             0.21098,            0.001453,           0.0003186,              0.1164,             0.04461,            0.044461,            0.000136,            0.000136,            0.098436
                   2,             0.11714,            0.048653,             0.04359,            0.003945,             0.09945,           0.0021809,          0.00050501,             0.11286,            0.046277,            0.042906,            0.000104,            0.000104,            0.097504
