               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12402,             0.04043,            0.045166,                   0,                   0,                   0,                   0,                   0,            0.015933,                   0,               8e-05,               8e-05,             0.09928
                   1,             0.12157,            0.041707,            0.044379,                   0,                   0,                   0,                   0,                   0,            0.014127,                   0,          0.00016851,          0.00016851,            0.098469
